Director,Average Popularity Score
Gennaro Piccirillo,1.3459999999999999
J.P. Leck,1.345
Justin Timpane,1.345
Jim O'Rear,1.34
Todd Sheets,1.3386
James Balsamo,1.3354761904761905
Owen Knight,1.3313333333333333
Onur Tukel,1.3295
Joseph P. Kelly,1.321
Craig McMahon,1.318
Cody Clarke,1.31725
Michael Felsher,1.3105
John Migliore,1.3082
Jerry Pyle,1.306
Graham Denman,1.2996666666666667
John Vincent,1.296
Jim Klock,1.2943333333333333
Nick Lang,1.289
Derek Cole,1.2855
Barkley Dubis,1.28
Lory-Michael Ringuette,1.2783333333333333
Joe Leone,1.2695
Alexander Henderson,1.2682499999999999
Tony Newton,1.2645
Milko Davis,1.264
Michael Fredianelli,1.262
Nigel Hartwell,1.25725
Dustin Ferguson,1.2545208333333333
William Hellfire,1.2441923076923078
Navin Ramaswaran,1.2389999999999999
Joey Evans,1.2356666666666667
James Adam Tucker,1.2345
Troy Escamilla,1.232
Biray Dalkıran,1.225
Dustin Hubbard,1.2233333333333334
Michael Varrati,1.22125
Jason M. Koch,1.219
Charles Peterson,1.211
Christopher Leto,1.202
Vince D'Amato,1.2005
Dylan Clark,1.19325
Jill Gevargizian,1.1915
Joe Francis,1.19
Edward Payson,1.1893333333333334
Tory Jones,1.18825
Jerry Landi,1.185
Steve Rudzinski,1.1838333333333333
Nate Wilson,1.1835
Bruce Koehler,1.1816666666666666
Stephen Folker,1.176
Jorge Torres-Torres,1.1755
Ted Moehring,1.175
David J. Espinosa,1.1726666666666665
David Heavener,1.1726666666666665
Jennifer Reeder,1.1705
Alex Pucci,1.1678000000000002
The Aquinas,1.165
Paul M McAlarney,1.1609999999999998
Jim Roberts,1.158
Ama Lea,1.1576666666666668
Creep Creepersin,1.1521428571428571
Dave Bundtzen,1.1515
Andy Chen,1.1493333333333333
James Bell,1.1493333333333333
Nigel Bach,1.1474
Adam York,1.14675
Michael Mongillo,1.1456666666666668
Amy Lynn Best,1.141333333333333
Joe Davison,1.137
Rocky Costanzo,1.1360000000000001
Mike Watt,1.133
Stephen Grischuk,1.1324999999999998
Richard Griffin,1.1321999999999999
Anthony Leone,1.128
James Baack,1.1264999999999998
Steve Goltz,1.1205
Joe Sherlock,1.117
Gus Trapani,1.1163333333333334
Charles E. Cullen,1.111
Krsy Fox,1.1085
Jim Haggerty,1.1085
Jonathan Holbrook,1.097
Zachary Keane,1.0956666666666666
Chris Alexander,1.093142857142857
Eric Leiser,1.0919999999999999
Mark Bessenger,1.0884999999999998
Phil Stevens,1.0855
Ryan Callaway,1.0770000000000002
SamHel,1.0751111111111111
Chris Good Goodwin,1.0713333333333335
Robbie Lopez,1.0706666666666667
Brian Patrick Butler,1.0666666666666667
Charles Roxburgh,1.0605
Dan T. Hall,1.059
Joe Lujan,1.0442
Chelsea Lupkin,1.039
Larry Wade Carrell,1.037
Darin Wood,1.037
Chris R. Notarile,1.0298571428571428
Joseph Nanni,1.0295
Jason Matherne,1.0285
Matt Mitchell,1.024
Jason Mills,1.02
Dakota Ray,1.0188
Frank Sudol,1.013
Dawei Lee,1.0110000000000001
Ricardo Islas,1.0002857142857142
Michael W. Johnson,0.999
Bennie Woodell,0.9974999999999999
Johny Walker,0.9933333333333333
Darrell James Roodt,0.993
Ryan Couldrey,0.9916
Ashley Hays Wright,0.99
Jon Devlin,0.9844999999999999
Joe Meredith,0.984
Scott Phillips,0.9783333333333334
Stephen Vanderpool,0.973
Mathieu Ratthe,0.9724999999999999
Akiko Janos,0.9706666666666667
Justin Harding,0.9663333333333334
Sean-Michael Argo,0.959
Jacob Chase,0.956
Dylan Greenberg,0.952
Brian Clement,0.948
Robert Cuffley,0.9306666666666666
William Fruet,0.9279999999999999
Alexis Ramirez,0.9243333333333333
Conall Pendergast,0.924
Danny Donahue,0.92375
Matt Maiellaro,0.923
Glenn Payne,0.92
Christopher Wesley Moore,0.9186666666666667
Nathan Hine,0.911
John Gray,0.91
Paul Dale,0.91
Alain Vézina,0.9086666666666666
John Polonia,0.903875
Erik Boccio,0.9023333333333333
Brian Lonano,0.9016666666666667
Steven 'Prozak' Shippy,0.9002000000000001
Dan Riesser,0.8947499999999999
Scout Tafoya,0.8943333333333333
Justin Decloux,0.891
René Wiesner,0.8909999999999999
Todd Braley,0.883
Jason Paul Collum,0.876
Robbie Smith,0.8740000000000001
Jason Hawkins,0.87375
Sébastien Godin,0.8734999999999999
Jason Zink,0.8716666666666666
Gary Davis,0.8696666666666667
Bobby Canipe Jr.,0.8646666666666666
Kristian Lariviere,0.8625
Joe Badon,0.8483333333333333
David Axe,0.8414999999999999
Eduardo Castrillo,0.8405
Joseph Ciminera,0.838
David Michael Quiroz Jr.,0.838
Izzy Lee,0.8343333333333333
Jason Gerbay,0.834
Jose Zambrano Cassella,0.8183333333333334
William Lee,0.81725
Jeff Frumess,0.8151666666666667
Michael Wade Johnson,0.80975
Dustin Mills,0.8017826086956521
Richard Powell,0.7966666666666665
Nick Box,0.7965
Philip Gardiner,0.794
Ian Messenger,0.794
Lucky Cerruti,0.7933333333333334
Izabel Grondin,0.793
David Romero,0.78925
Jake Hammond,0.7889999999999999
Jeremiah Rosario,0.7835
Steven Daemers,0.78
Mark Mos,0.777
Clay Moffatt,0.7745000000000001
Timothy Whitfield,0.77225
Isaac Ruth,0.7675000000000001
Chris Morrissey,0.767
Travis Laidlaw,0.7655
Andrew Crane,0.7606666666666667
Joshua Giuliano,0.7557499999999999
Cory Udler,0.7489999999999999
Erica Summers,0.747
Charles Pinion,0.747
Steve Oakley,0.7466666666666667
Freddy Chavez Olmos,0.7464999999999999
Dillon Vibbart,0.7443333333333332
James Ian Mair,0.7435454545454546
Gary Whitson,0.7413859649122807
George Demick,0.735
Robert Elkins,0.7323333333333334
George Bonilla,0.7296666666666667
Chris Seaver,0.7278181818181818
Anthony Catanese,0.721
Jovanka Vuckovic,0.7193333333333333
Geno McGahee,0.719
Thomas Edward Seymour,0.7173333333333334
Daniel Falicki,0.7140000000000001
Miko Drake Christoforou,0.714
Zachary Eglinton,0.7127999999999999
Jon Kovel,0.7122499999999999
Matt Spease,0.7111666666666667
Nolen Sternkopf,0.7086666666666668
Christine Parker,0.70825
Colin Clarke,0.70825
Lucas PG,0.708
Armand Petri,0.705
Shugo Fujii,0.7040000000000001
